src,dst,weight_pct,date
LQD,GLD,2.628281632699291,2013-02-19
GLD,SPY,0.09314927071667892,2013-02-19
GLD,QQQ,0.1262159530408544,2013-02-19
GLD,IWM,0.15095601226601293,2013-02-19
GLD,EFA,0.39827029529232477,2013-02-19
GLD,EEM,0.7135152693861488,2013-02-19
GLD,TLT,0.27926572453901205,2013-02-19
GLD,LQD,1.6985194313329184,2013-02-19
SPY,QQQ,19.640898746604844,2013-02-26
SPY,IWM,19.65539783471949,2013-02-26
SPY,EFA,18.806362763826147,2013-02-26
SPY,EEM,18.28059400798862,2013-02-26
SPY,TLT,13.330877440638233,2013-02-26
SPY,LQD,2.627215767787523,2013-02-26
SPY,GLD,0.5277630428780345,2013-02-26
QQQ,SPY,18.027148997046744,2013-02-26
QQQ,IWM,17.86254294491997,2013-02-26
QQQ,EFA,16.02906813990109,2013-02-26
QQQ,EEM,15.97722226026349,2013-02-26
QQQ,TLT,10.645196662990275,2013-02-26
QQQ,LQD,2.138839536971919,2013-02-26
QQQ,GLD,0.31727264880607575,2013-02-26
IWM,SPY,18.2364245787086,2013-02-26
IWM,QQQ,18.06818351229378,2013-02-26
IWM,EFA,16.356965939463702,2013-02-26
IWM,EEM,16.483774657430867,2013-02-26
IWM,TLT,10.701758714406505,2013-02-26
IWM,LQD,1.8561268246737423,2013-02-26
IWM,GLD,0.561083089903317,2013-02-26
EFA,SPY,17.470308207323466,2013-02-26
EFA,QQQ,16.0918797544445,2013-02-26
EFA,IWM,16.334615253774825,2013-02-26
EFA,EEM,18.63391572757752,2013-02-26
EFA,TLT,11.603939666757396,2013-02-26
EFA,LQD,1.5616889926460367,2013-02-26
EFA,GLD,1.6725238267037696,2013-02-26
EEM,SPY,16.58442047154167,2013-02-26
EEM,QQQ,15.723026068839694,2013-02-26
EEM,IWM,16.101732990183915,2013-02-26
EEM,EFA,18.204864097180774,2013-02-26
EEM,TLT,10.561591901845631,2013-02-26
EEM,LQD,1.1786270662380374,2013-02-26
EEM,GLD,2.894431329897119,2013-02-26
TLT,SPY,8.734500756940951,2013-02-26
TLT,QQQ,7.6615979401061445,2013-02-26
TLT,IWM,7.594619851793897,2013-02-26
TLT,EFA,8.102788474631216,2013-02-26
TLT,EEM,7.562061866390763,2013-02-26
TLT,LQD,24.919852350535166,2013-02-26
TLT,GLD,0.7864976655022156,2013-02-26
LQD,SPY,0.41664367614818687,2013-02-26
LQD,QQQ,0.35804460980075253,2013-02-26
LQD,IWM,0.26030499711516086,2013-02-26
LQD,EFA,0.2029501469244784,2013-02-26
LQD,EEM,0.07159357116779796,2013-02-26
LQD,TLT,11.945796742009614,2013-02-26
LQD,GLD,2.7334800456965382,2013-02-26
GLD,SPY,0.09805600933954814,2013-02-26
GLD,QQQ,0.13946519837140775,2013-02-26
GLD,IWM,0.1586848287726714,2013-02-26
GLD,EFA,0.39309994883931637,2013-02-26
GLD,EEM,0.7063492793324019,2013-02-26
GLD,TLT,0.2951519264470839,2013-02-26
GLD,LQD,1.740140984532941,2013-02-26
SPY,QQQ,19.62886211280211,2013-03-05
SPY,IWM,19.645690780320844,2013-03-05
SPY,EFA,18.811030541173533,2013-03-05
SPY,EEM,18.27775188861778,2013-03-05
SPY,TLT,13.328917794427126,2013-03-05
SPY,LQD,2.6404470812418124,2013-03-05
SPY,GLD,0.4807602438110025,2013-03-05
QQQ,SPY,18.018107890314997,2013-03-05
QQQ,IWM,17.858771928590027,2013-03-05
QQQ,EFA,16.03854767377034,2013-03-05
QQQ,EEM,15.978289640163204,2013-03-05
QQQ,TLT,10.655962855287546,2013-03-05
QQQ,LQD,2.1587016034056252,2013-03-05
QQQ,GLD,0.2949007452074884,2013-03-05
IWM,SPY,18.23170142614472,2013-03-05
IWM,QQQ,18.065180002686255,2013-03-05
IWM,EFA,16.371687357018917,2013-03-05
IWM,EEM,16.498773489978387,2013-03-05
IWM,TLT,10.709005982047739,2013-03-05
IWM,LQD,1.8590163716759773,2013-03-05
IWM,GLD,0.527603971781887,2013-03-05
EFA,SPY,17.48594339242547,2013-03-05
EFA,QQQ,16.105747647736067,2013-03-05
EFA,IWM,16.351151787649453,2013-03-05
EFA,EEM,18.628627225323697,2013-03-05
EFA,TLT,11.615407143134307,2013-03-05
EFA,LQD,1.6022683357666236,2013-03-05
EFA,GLD,1.5805270928225967,2013-03-05
EEM,SPY,16.577885672340795,2013-03-05
EEM,QQQ,15.709548201031323,2013-03-05
EEM,IWM,16.106078249617088,2013-03-05
EEM,EFA,18.192320054278845,2013-03-05
EEM,TLT,10.560844421394012,2013-03-05
EEM,LQD,1.20072866151124,2013-03-05
EEM,GLD,2.7826287636879434,2013-03-05
TLT,SPY,8.746777190587233,2013-03-05
TLT,QQQ,7.683185915431806,2013-03-05
TLT,IWM,7.608609241918645,2013-03-05
TLT,EFA,8.116583641162755,2013-03-05
TLT,EEM,7.569666430040543,2013-03-05
TLT,LQD,24.982164454955864,2013-03-05
TLT,GLD,0.8021227393056716,2013-03-05
LQD,SPY,0.42609556005761706,2013-03-05
LQD,QQQ,0.37038914564152153,2013-03-05
LQD,IWM,0.2632431754690722,2013-03-05
LQD,EFA,0.2165242038411291,2013-03-05
LQD,EEM,0.07529012022106785,2013-03-05
LQD,TLT,11.969427390157621,2013-03-05
LQD,GLD,2.6860792660407378,2013-03-05
GLD,SPY,0.09260828000487599,2013-03-05
GLD,QQQ,0.13156972968954656,2013-03-05
GLD,IWM,0.14949507421227543,2013-03-05
GLD,EFA,0.3706079166810064,2013-03-05
GLD,EEM,0.6815319109789473,2013-03-05
GLD,TLT,0.3011226443034655,2013-03-05
GLD,LQD,1.6832920812829177,2013-03-05
SPY,QQQ,19.64496186146479,2013-03-12
SPY,IWM,19.653541776814233,2013-03-12
SPY,EFA,18.818549651353887,2013-03-12
SPY,EEM,18.27890769643191,2013-03-12
SPY,TLT,13.308987029903413,2013-03-12
SPY,LQD,2.608169556893067,2013-03-12
SPY,GLD,0.5069863163608738,2013-03-12
QQQ,SPY,18.024260307541397,2013-03-12
QQQ,IWM,17.852171177857105,2013-03-12
QQQ,EFA,16.04140979719442,2013-03-12
QQQ,EEM,15.960098987851556,2013-03-12
QQQ,TLT,10.606141009728839,2013-03-12
QQQ,LQD,2.1130026688639147,2013-03-12
QQQ,GLD,0.3103402845108273,2013-03-12
IWM,SPY,18.23553512999113,2013-03-12
IWM,QQQ,18.064421703160416,2013-03-12
IWM,EFA,16.368105270527312,2013-03-12
IWM,EEM,16.494120122036612,2013-03-12
IWM,TLT,10.695095122651662,2013-03-12
IWM,LQD,1.831786741911087,2013-03-12
IWM,GLD,0.5499893446877173,2013-03-12
EFA,SPY,17.488111298139366,2013-03-12
EFA,QQQ,16.11258051871454,2013-03-12
EFA,IWM,16.3468216987601,2013-03-12
EFA,EEM,18.63084967250961,2013-03-12
EFA,TLT,11.587941743320524,2013-03-12
EFA,LQD,1.5713601396497485,2013-03-12
EFA,GLD,1.6125589569424696,2013-03-12
EEM,SPY,16.568190138867106,2013-03-12
EEM,QQQ,15.691072035135944,2013-03-12
EEM,IWM,16.09601480072183,2013-03-12
EEM,EFA,18.18901816376618,2013-03-12
EEM,TLT,10.545047365092968,2013-03-12
EEM,LQD,1.1610160997184447,2013-03-12
EEM,GLD,2.842793862524039,2013-03-12
TLT,SPY,8.726712538247664,2013-03-12
TLT,QQQ,7.646721145706764,2013-03-12
TLT,IWM,7.594443218908442,2013-03-12
TLT,EFA,8.091125814547377,2013-03-12
TLT,EEM,7.554654904047204,2013-03-12
TLT,LQD,25.13356432987844,2013-03-12
TLT,GLD,0.7781943657513624,2013-03-12
LQD,SPY,0.4251914075803171,2013-03-12
LQD,QQQ,0.3654978794378982,2013-03-12
LQD,IWM,0.2651612767501297,2013-03-12
LQD,EFA,0.21634668549885944,2013-03-12
LQD,EEM,0.07618583192673624,2013-03-12
LQD,TLT,12.059467419745946,2013-03-12
LQD,GLD,2.672661200238001,2013-03-12
GLD,SPY,0.09708696497675923,2013-03-12
GLD,QQQ,0.14034482213227079,2013-03-12
GLD,IWM,0.1567215273825769,2013-03-12
GLD,EFA,0.3787611963336628,2013-03-12
GLD,EEM,0.6971619556859224,2013-03-12
GLD,TLT,0.2953355160329952,2013-03-12
GLD,LQD,1.6839614363449904,2013-03-12
SPY,QQQ,19.64020881074912,2013-03-19
SPY,IWM,19.651184686742777,2013-03-19
SPY,EFA,18.81385572111555,2013-03-19
SPY,EEM,18.268155171087976,2013-03-19
SPY,TLT,13.334807054884749,2013-03-19
SPY,LQD,2.641899281401687,2013-03-19
SPY,GLD,0.4960415607724976,2013-03-19
QQQ,SPY,18.015490305071534,2013-03-19
QQQ,IWM,17.845638156186315,2013-03-19
QQQ,EFA,16.033114095767374,2013-03-19
QQQ,EEM,15.964429064756844,2013-03-19
QQQ,TLT,10.60396323313542,2013-03-19
QQQ,LQD,2.1270514554357,2013-03-19
QQQ,GLD,0.30364728443420363,2013-03-19
IWM,SPY,18.225578056941664,2013-03-19
IWM,QQQ,18.054374790709208,2013-03-19
IWM,EFA,16.357979982261327,2013-03-19
IWM,EEM,16.469836824332504,2013-03-19
IWM,TLT,10.712532272613657,2013-03-19
IWM,LQD,1.8611727860557763,2013-03-19
IWM,GLD,0.539873208256672,2013-03-19
EFA,SPY,17.485544115683837,2013-03-19
EFA,QQQ,16.109838386226592,2013-03-19
EFA,IWM,16.346459572467964,2013-03-19
EFA,EEM,18.61571031551138,2013-03-19
EFA,TLT,11.645462486112427,2013-03-19
EFA,LQD,1.6137692804895563,2013-03-19
EFA,GLD,1.6017092959559762,2013-03-19
EEM,SPY,16.549523963028175,2013-03-19
EEM,QQQ,15.693216204013302,2013-03-19
